deputy_name,party,district
bruno vitorino,psd,setúbal
cecília meireles,cds,porto
luís vilhena,ps,madeira
rui pereira,ps,lisboa
joão torres,ps,porto
leonel costa,psd,porto
marisabel moutela,ps,viseu
mariana mortágua,be,lisboa
luís campos ferreira,psd,viana do castelo
norberto patinho,ps,évora
rui rio,psd,porto
agostinho lopes,pcp,braga
rui prudêncio,ps,lisboa
sílvia torres,ps,viana do castelo
eurídice pereira,ps,setúbal
assunção cristas,cds,lisboa/leiria
heloísa apolónia,pcp,setúbal
josé magalhães,ps,porto
isabel alves moreira,ps,lisboa
josé de bianchi,ps,vila real
carlos peixoto,psd,guarda
rita rato,pcp,lisboa
nuno araújo,ps,porto
cláudia santos,ps,aveiro
helga correia,psd,aveiro
cláudia andré,psd,castelo branco
joão paulo viegas,cds,setúbal
clara marques mendes,psd,braga
paulino ascenção,be,madeira
maria antónia de almeida santos,ps,setúbal
joana bento,ps,castelo branco
rui cristina,psd,faro
maria da conceição caldeira,psd,lisboa
teresa venda,ps,braga
constança urbano de sousa,ps,porto
custódia fernandes,ps,lisboa
jorge strecht,ps,porto
vânia jesus,psd,madeira
afonso candal,ps,aveiro
maria josé moreno,psd,bragança
antónio leitão amaro,psd,viseu
jorge falcato simões,be,lisboa
hugo pires,ps,braga
luís soares,ps,braga
luís montenegro,psd,aveiro
nuno fazenda,ps,castelo branco
ramos preto,ps,lisboa
fernando paulo ferreira,ps,lisboa
heitor de sousa,be,leiria
bruno coimbra,psd,aveiro
joão rebelo,cds,lisboa
joana mortágua,be,setúbal
bacelar de vasconcelos,ps,porto
bruno dias,pcp,setúbal
francisca parreira,ps,setúbal
catarina marcelino,ps,setúbal
ana mesquita,pcp,porto/lisboa
mário ruivo,ps,coimbra
isabel coutinho,ps,braga
andré coelho lima,psd,braga
moisés ferreira,be,aveiro
isabel pires,be,lisboa
marcos sá,ps,lisboa
alexandre poço,psd,lisboa
joaquim ponte,psd,açores
abel baptista,cds,viana do castelo
inês de sousa real,pan,lisboa
josé manuel canavarro,psd,coimbra
hugo patrício oliveira,psd,leiria
gabriela canavilhas,ps,porto
jorge seguro sanches,ps,castelo branco
miguel laranjeiro,ps,braga
joão portugal,ps,coimbra
josé cesário,psd,fora europa
hélder sousa silva,psd,lisboa
domingos pereira,ps,braga
pedro filipe soares,be,lisboa
nuno magalhães,cds,setúbal
antónio carlos monteiro,cds,aveiro
hugo costa,ps,santaŕem
jorge manuel gonçalves,ps,leiria
agostinho branquinho,psd,porto
bernardino soares,pcp,lisboa
antónio josé seguro,ps,braga
ana oliveira,psd,coimbra
rita calvário,be,lisboa
antonieta guerreiro,psd,faro
cristóvão crespo,psd,portalegre
jorge rodrigues pereira,ps,açores
maria josé nogueira pinto,psd,lisboa
paulo sá,pcp,faro
sérgio marques,psd,madeira
josé eduardo martins,psd,viana do castelo
ilídia quadrado,psd,açores
eduardo teixeira,psd,viana do castelo
rui jorge caetano,ps,madeira
carla borges,psd,viseu
duarte marques,psd,santaŕem
isaura pedro,psd,viseu
ana rita bessa,cds,lisboa
josé cancela moura,psd,porto
paulo batista santos,psd,leiria
júlia rodrigues,ps,bragança
ricardo leão,ps,lisboa
manuel caldeira cabral,ps,braga
fernando serrasqueiro,ps,castelo branco
pedro silva pereira,ps,vila real
eduardo barroco de melo,ps,porto
cristina jesus,ps,coimbra
cecília honório,be,faro
hugo carneiro,psd,porto
francisca almeida,psd,braga
luís marques guedes,psd,lisboa
artur soveral andrade,psd,vila real
maria ester vargas,psd,viseu
isabel oneto,ps,porto
antónio ventura,psd,açores
antónio costa,ps,lisboa
nuno serra,psd,santaŕem
luís rodrigues,psd,setúbal
joão figueiredo,psd,viseu
sónia fertuzinhos,ps,braga
josé moura soeiro,be,porto
luísa salgueiro,ps,porto
pedro alves,psd,viseu
carlos eduardo reis,psd,braga
joão ramos,pcp,beja
eduardo cabrita,ps,setúbal
pedro soares,be,braga
marcos perestrello,ps,lisboa
raquel coelho,psd,porto
josé junqueiro,ps,viseu
mariana aiveca,be,setúbal
odete silva,psd,lisboa
bruno aragão,ps,aveiro
emília cerqueira,psd,viana do castelo
marques júnior,ps,porto
luís menezes,psd,porto
maria begonha,ps,braga
jorge lacão,ps,lisboa
ilda araújo novo,cds,viana do castelo
lara martinho,ps,açores
cláudia bento,psd,vila real
josé antónio silva,psd,leiria
joão semedo,be,porto
joão vasconcelos,be,faro
luís moreira testa,ps,portalegre
paulo barradas,ps,viseu
luís graça,ps,faro
antónio topa,psd,aveiro
carlos alberto gonçalves,psd,europa
francisco lopes,pcp,setúbal
mónica quintela,psd,coimbra
fernando rosas,be,setúbal
carlos enes,ps,açores
fernando josé,ps,setúbal
hugo lopes soares,psd,braga
maria joão ávila,psd,fora europa
graça mota,psd,braga
lúcia araújo silva,ps,viseu
tiago estevão martins,ps,coimbra
firmino pereira,psd,porto
michael seufert,cds,porto
acácio pinto,ps,viseu
telma guerreiro,ps,beja
joão serpa oliva,cds,coimbra
mário centeno,ps,lisboa
nelson peralta,be,aveiro
josé silvano,psd,lisboa/bragança
maria luís albuquerque,psd,setúbal
inês teotónio pereira,cds,lisboa
carla sousa,ps,porto
mota andrade,ps,bragança
joão cotrim de figueiredo,il,lisboa
alexandre quintanilha,ps,porto
antónio cunha,psd,porto
josé vera jardim,ps,lisboa
lúcio ferreira,ps,porto
teresa fernandes,psd,braga
jorge paulo oliveira,psd,braga
david costa,pcp,lisboa
jacinto serrão,ps,madeira
santinho pacheco,ps,guarda
adelaide canastro,psd,porto
antónio cabeleira,psd,vila real
vera rodrigues,cds,porto
jorge fão,ps,viana do castelo
renato sampaio,ps,porto
antónio gameiro,ps,santaŕem
carla barros,psd,porto
horácio antunes,ps,coimbra
jorge moreira da silva,psd,braga
defensor moura,ps,viana do castelo
vasco cunha,psd,santarém
ana catarina mendonça mendes,ps,setúbal
joão gouveia,ps,coimbra
sara velez,ps,leiria
fernando medina,ps,viana do castelo
laura esperança,psd,leiria
eurico brilhante dias,ps,castelo branco
joaquim raposo,ps,lisboa
teresa damásio,ps,lisboa
duarte cordeiro,ps,setúbal
ricardo gonçalves,ps,braga
jorge bacelar gouveia,ps,faro
hugo martins de carvalho,psd,porto
joão sequeira,ps,santarém
cristóvão norte,psd,faro
joão paulo rebelo,ps,viseu
mónica ferro,psd,lisboa
josé manuel carpinteira,ps,viana do castelo
fernando manuel barbosa,be,porto
nuno miguel carvalho,psd,setúbal
josé carlos barros,psd,faro
carlos zorrinho,ps,évora
paulo mota pinto,psd,lisboa
manuel dos santos afonso,ps,santaŕem
celeste amaro,psd,lisboa
pedro passos coelho,psd,lisboa
francisco louçã,be,lisboa
jorge salgueiro mendes,psd,viana do castelo
josé de matos rosa,psd,lisboa
joão oliveira,pcp,évora
joana lima,ps,porto
otília ferreira gomes,cds,braga
luís gonelha,ps,setúbal
helena freitas,ps,coimbra
manuel frexes,psd,castelo branco
rosa maria bastos albernaz,ps,aveiro
josé luís arnaut,psd,viseu
wanda guimarães,ps,lisboa
joão paulo correia,ps,porto
carla cruz,pcp,braga
durval tiago ferreira,cds,braga
adão silva,psd,bragança
luís pita ameixa,ps,beja
nuno reis,psd,braga
joão galamba,ps,setúbal
bebiana cunha,pan,porto
sérgio sousa pinto,ps,lisboa
luís pedro pimentel,psd,vila real
antónio rodrigues,psd,viana do castelo
fernando rocha andrade,ps,aveiro
lina lopes,psd,lisboa
ricardo rodrigues,ps,açores
jorge costa,be,lisboa
carlos pereira,ps,madeira
luís leite ramos,psd,vila real
pedro roque,psd,leiria/lisboa
pedro jesus marques,ps,portalegre
vitalino canas,ps,lisboa
paulo cavaleiro,psd,aveiro
joão moura,psd,santaŕem
ricardo santos,psd,porto
antónio eusébio,ps,faro
marina gonçalves,ps,viana do castelo
luís vales,psd,porto
sandra pontedeira,ps,viana do castelo
anabela freitas,ps,santarém
pedro duarte,psd,porto
rui pedro duarte,ps,coimbra
nuno sá,ps,braga
josé pereira marques,ps,guarda
joão prata,psd,guarda
mara coelho,ps,santaŕem
pacheco pereira,psd,santarém
liliana silva,psd,viana do castelo
nelson silva,pan,lisboa
ana virgínia pereira,pcp,porto
carla tavares,ps,aveiro
joaquim barreto,ps,braga
fernando marques,psd,leiria
ricardo vicente,be,leiria
cristóvão simão ribeiro,psd,port
rosa arezes,psd,viana do castelo
vera braz,ps,lisboa
marco antónio costa,psd,porto
jamila madeira,ps,faro
miguel santos,psd,porto
isaura morais,psd,santaŕem
frederico castro,ps,braga
carlos são martinho,psd,castelo branco
maria gabriela fonseca,psd,braga
antónio serrano,ps,santaŕem
olavo câmara,ps,madeira
mendes bota,psd,faro
luís capoulas,psd,évora
margarida neto,psd,santaŕem
carla madureira,psd,aveiro
carlos santos silva,psd,lisboa
sara madruga da costa,psd,madeira
maria antonieta dias,cds,braga
susana amador,ps,lisboa
joão paulo pedrosa,ps,leiria
maria manuela tender,psd,vila real
susana correia,ps,aveiro
antónio cardoso,ps,aveiro
francisco pereira oliveira,ps,faro
couto dos santos,psd,aveiro
isabel santos,ps,porto
maria paula cardoso,psd,aveiro
filipa roseta,psd,lisboa
cristina rodrigues,independente,setúbal
pedro do carmo,ps,beja
laura monteiro magalhães,psd,braga
firmino marques,psd,braga
joão ataíde,ps,coimbra
rui silva,psd,braga
duarte pacheco,psd,lisboa
vera prata,pcp,évora
ofélia ramos,psd,faro
miguel tiago,pcp,lisboa
ana sofia bettencourt,psd,lisboa
rui jorge santos,ps,vila real
josé pedro aguiar branco,psd,porto
manuel meirinho martins,psd,guarda
nuno andré figueiredo,ps,porto
carlos césar,psd,açores
antónio sales,ps,leiria
ana passos,ps,faro
filipe pacheco,ps,setúbal
odete joão,ps,leiria
honório novo,pcp,porto
isidro araújo,psd,braga
pedro saraiva,psd,coimbra
joana sá pereira,ps,aveiro
rosa maria albernaz,ps,aveiro
maria da graça reis,ps,viseu
margarida balseiro lopes,psd,leiria
andré pardal,psd,lisboa
josé manuel pureza,be,coimbra
celeste correia,ps,lisboa
duarte alves,pcp,lisboa
mariana silva,pev,lisboa
ana paula vitorino,ps,porto
sandra cardoso,ps,portalegre
carina oliveira,psd,santaŕem
manuela ferreira leite,psd,lisboa
clarisse campos,ps,setúbal
fernando ruas,psd,viseu
josé maria cardoso,be,braga
isabel lopes,psd,bragança
luísa roseira,psd,porto
rosário gambôa,ps,porto
francisco rocha,ps,vila real
josé alberto lourenço,pcp,setúbal
sofia araújo,ps,setúbal
andré ventura,chega,lisboa
jorge duarte costa,be,setúbal
antónio prôa,psd,lisboa
hortense martins,ps,castelo branco
miguel frasquilho,psd,porto
josé luís ferreira,pev,setúbal/lisboa
fernando anastácio,ps,lisboa/faro
josé miguel medeiros,ps,leiria
margarida mano,psd,coimbra
helena pinto,be,lisboa
josé soeiro,pcp,beja
antónio silva preto,psd,lisboa
josé lello,ps,porto
ernesto ferraz,be,madeira
maria do rosário carneiro,ps,porto
nuno filipe matias,psd,setúbal
paulo almeida,cds,coimbra
ana jorge,ps,coimbra
pedro sousa,ps,porto
alexandra vieira,be,braga
isabel sequeira,psd,vila real
luís capoulas santos,ps,évora
andré neves,psd,aveiro
correia de jesus,psd,madeira
carla rodrigues,psd,aveiro
porfírio silva,ps,aveiro
pedro rodrigues,psd,lisboa
manuel mota,ps,braga
emídio guerreiro,psd,braga
tiago barbosa ribeiro,ps,porto
carlos silva e sousa,psd,faro
basílio horta,ps,leiria
carlos abreu amorim,psd,setúbal
antónio costa silva,psd,évora
teresa caeiro,cds,faro
palmira maciel,ps,braga
sérgio azevedo,psd,lisboa
josé de matos correia,psd,lisboa
paula santos,pcp,setúbal
andré pinotes batista,ps,setúbal
helena roseta,ps,lisboa
agostinho santa,ps,vila real
romualda fernandes,ps,lisboa
carlos brás,ps,porto
mota amaral,psd,açores
maria helena rebelo,ps,viseu
miguel vale almeida,ps,lisboa
joão miguel nicolau,ps,lisboa
sandra cunha,be,setúbal
miranda calha,ps,lisboa
rita miguel,ps,guarda
conceição bessa ruão,psd,porto
antónio filipe,pcp,santaŕem
rui riso,ps,lisboa
ricardo pinheiro,ps,portalegre
maria de belém roseira,ps,lisboa
isabel rodrigues,ps,açores
sandra pereira,psd,lisboa
fátima ramos,psd,coimbra
laurentino dias,ps,braga
isabel meireles,psd,lisboa
carlos matias,be,santaŕem
ricardo bexiga,ps,porto
pedro pinto,psd,lisboa
mário mourão,ps,porto
vieira da silva,ps,santaŕem
amadeu soares albergaria,psd,aveiro
alberto martins,ps,porto
paulo neves,psd,madeira
guilherme silva,psd,madeira
joel sá,psd,braga
artur rêgo,cds,faro
hugo carvalho,ps,porto
rosalina martins,ps,viana do castelo
vítor fontes,ps,aveiro
bruno inácio,psd,faro
pedro farmhouse,ps,lisboa
maria manuel rola,be,porto
josé gusmão,be,santarém
miguel macedo,psd,braga
berta cabral,psd,açores
olga silvestre,psd,leiria
susana lamas,psd,aveiro
jorge campos,be,porto
edite estrela,ps,lisboa
hugo oliveira,ps,aveiro
margarida marques,ps,leiria
joão lobo,psd,braga
alberto machado,psd,porto
adolfo mesquita nunes,psd,bragança
joão marques,ps,castelo branco
antónio lima costa,psd,viseu
joão gomes marques,psd,leiria
inês lamego,ps,aveiro
joana barata lopes,psd,lisboa
feliciano barreiras duarte,psd,leiria
nuno encarnação,psd,coimbra
jorge machado,pcp,porto
fernando barbosa,cds,porto
márcia passos,psd,porto
ulisses pereira,psd,aveiro
andreia neto,psd,porto
lurdes ribeiro,pcp,porto
alberto costa,ps,lisboa
vânia dias da silva,cds,braga
andré silva,pan,lisboa
maria de lurdes ruivo,ps,porto
glória araújo,ps,porto
francisco de assis,ps,porto
paula gonçalves,psd,porto
marta freitas,ps,lisboa
paulo trigo pereira,independente,setúbal
ascenso simões,ps,vila real
teresa santos,psd,viseu
paulo moniz,psd,açores
paulo marques,ps,lisboa
elsa cordeiro,psd,faro
adriano rafael moreira,psd,porto
raquel ferreira,ps,coimbra
miguel matos,ps,lisboa
ana drago,be,lisboa
miguel coelho,ps,lisboa
maria manuela augusto,ps,lisboa
ângela moreira,pcp,porto
ricardo baptista leite,psd,lisboa
paulo portas,cds,lisboa
paulo simões ribeiro,psd,setúbal
filipe anacoreta correia,cds,lisboa
conceição casa nova,ps,beja
helena lopes da costa,psd,lisboa
josé ribeiro e castro,cds,porto
rui paulo figueiredo,ps,lisboa
ana miguel dos santos,psd,aveiro
rui barreto,cds,madeira
afonso oliveira,psd,porto
pedro cegonho,ps,lisboa
alberto fonseca,psd,porto
valter ribeiro,psd,leiria
ferro rodrigues,ps,lisboa
carlos páscoa gonçalves,psd,fora europa
joacine katar moreira,independente,lisboa
maria joaquina matos,ps,faro
maria conceição loureiro,ps,porto
pedro delgado alves,ps,lisboa
cristina mendes da silva,ps,porto
josé lino ramos,cds,lisboa
josé rui cruz,ps,viseu
paula baptista,pcp,porto
manuel pizarro,ps,porto
teresa morais,psd,leiria
emília santos,psd,porto
joão soares,ps,lisboa
pedro mota soares,cds,porto
clara carneiro,psd,lisboa
isabel galriça neto,cds,lisboa
manuel rodrigues,psd,coimbra
diogo leão,ps,lisboa
joão azevedo castro,ps,açores
raul miguel castro,ps,leiria
fernando virgílio macedo,psd,porto
manuel seabra,ps,porto
maria luísa santos,ps,açores
maria germana rocha,psd,porto
joão gonçalves pereira,cds,lisboa
pedro coimbra,ps,coimbra
josé manuel rodrigues,cds,madeira
teresa anjinho,cds,aveiro
telmo correia,cds,braga
pedro lynce,psd,évora
miguel freitas,ps,faro
josé luís carneiro,ps,porto
maria josé castelo branco,psd,porto
carlos costa neves,psd,porto
cláudia monteiro de aguiar,psd,madeira
valter loios,pcp,évora
maria das mercês borges,psd,santaŕem
luís miguel frança,ps,madeira
fabíola cardoso,be,santaŕem
patrícia fonseca,cds,santaŕem
ângela guerra,psd,guarda
anabela rodrigues,ps,viana do castelo
joão serrano,ps,lisboa
paulo pisco,ps,europa
pedro morais soares,cds,lisboa
antónio borges,ps,viseu
elza pais,ps,leiria/coimbra
catarina martins,be,porto
pedro brandão rodrigues,ps,viana do castelo
fernando negrão,psd,setúbal/braga
arménio santos,psd,lisboa
antónio maló de abreu,psd,coimbra
antónio braga,ps,braga
jerónimo de sousa,pcp,lisboa
ivo oliveira,ps,vila real
rubina berardo,psd,madeira
sofia matos,psd,porto
altino bessa,cds,braga
joão azevedo,ps,viseu
inês de medeiros,ps,setúbal
heitor sousa,be,leiria
idália salvador serrão,ps,santaŕem
hugo velosa,psd,madeira
álvaro batista,psd,castelo branco
maria conceição pereira,psd,leiria
raúl de almeida,cds,aveiro
pedro nuno santos,ps,aveiro
paula teixeira da cruz,psd,lisboa
bravo nico,ps,évora
paulo leitão,psd,coimbra
miguel morgado,psd,porto
paula barros,ps,vila real
mário simões,psd,beja
maurício marques,psd,coimbra
beatriz gomes dias,be,lisboa
pedro do ó ramos,psd,setúbal
paulo porto,ps,fora europa
diana ferreira,pcp,porto
joão pinho de almeida,cds,aveiro/porto
nuno sá costa,psd,porto
isilda aguincha,psd,santaŕem
filipe neto brandão,ps,aveiro
carlos silva,psd,lisboa
rui cruz,psd,aveiro
teresa leal coelho,psd,santaŕem
luís monteiro,be,porto
álvaro almeida,psd,porto
joão dias,pcp,beja
ivan gonçalves,ps,setúbal
mário magalhães,psd,porto
nilza de sena,psd,beja
alma rivera,pcp,lisboa
catarina rocha ferreira,psd,porto
maria augusta santos,ps,braga
fernanda velez,psd,santaŕem
fernando jesus,ps,porto
pedro pimpão,psd,leiria
lídia bulcão,psd,açores
cristina sousa,ps,guarda
tiago brandão rodrigues,ps,viana do castelo
margarida almeida,psd,porto
jorge gomes,ps,bragança
alexandra tavares de moura,ps,lisboa
paulo rios de oliveira,psd,porto
luís fazenda,be,lisboa
maria da luz rosinha,ps,lisboa
manuel azenha,be,leiria
inês domingos,psd,viseu
rita borges madeira,ps,lisboa
josé ribeiro,ps,porto
sofia cabral,ps,setúbal
josé ferreira gomes,psd,bragança
manuel isaac,cds,leiria
